timestamp,time,uptime,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,CPU7,CPU8,RAM,SWAP,EMC,GPU,APE,DLA0_CORE,DLA0_FALCON,DLA1_CORE,DLA1_FALCON,NVDEC,NVENC,NVJPG,NVJPG1,OFA,PVA0_CPU_AXI,PVA0_VPS,SE,VIC,Fan pwmfan0,Temp cpu,Temp cv0,Temp cv1,Temp cv2,Temp gpu,Temp iwlwifi,Temp soc0,Temp soc1,Temp soc2,Temp tj,Power VDDQ_VDD2_1V8AO,Power VDD_CPU_CV,Power VDD_GPU_SOC,Power VIN_SYS_5V0,Power TOT,jetson_clocks,nvp model
1762961601.8724682,2025-11-12 15:33:21.872268,0:22:08.270000,57,58,64,66,54,64,98,56,0.31562340224805685,0.0,0,73.1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,63.875,-256,-256,-256,58.156,42.0,58.406,59.343,58.281,63.875,1697,6133,6133,5699,19662,ON,MAXN
1762961602.8734078,2025-11-12 15:33:22.873222,0:22:09.270000,60,75,67,75,60,66,77,63,0.31547286840644595,0.0,0,53.6,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,64.218,-256,-256,-256,58.156,41.0,58.125,59.375,58.437,64.218,1697,6571,6133,5600,20001,ON,MAXN
1762961603.876659,2025-11-12 15:33:23.876462,0:22:10.270000,69,69,67,70,68,72,61,87,0.31571234827957506,0.0,0,59.9,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,64.281,-256,-256,-256,57.968,43.0,58.375,59.343,58.437,64.281,1697,6571,6133,5600,20001,ON,MAXN
1762961604.8781595,2025-11-12 15:33:24.877971,0:22:11.270000,63,64,73,77,62,66,72,65,0.3155662681019171,0.0,0,56.9,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,64.75,-256,-256,-256,58.187,41.0,58.312,59.531,58.437,64.218,1697,6352,6133,5699,19881,ON,MAXN
1762961605.8795598,2025-11-12 15:33:25.879382,0:22:12.270000,64,60,58,68,78,72,58,61,0.3155834465200215,0.0,0,56.2,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,64.906,-256,-256,-256,58.187,39.0,58.5,59.531,58.468,64.781,1697,6352,5914,5600,19563,ON,MAXN
1762961606.8810225,2025-11-12 15:33:26.880840,0:22:13.270000,69,58,65,73,65,86,60,63,0.31510257806064057,0.0,0,66.6,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,64.281,-256,-256,-256,58.0,40.0,58.406,59.531,58.437,64.281,1697,6352,6133,5699,19881,ON,MAXN
1762961607.8825226,2025-11-12 15:33:27.882348,0:22:14.270000,63,80,66,55,66,71,75,66,0.31559706200696347,0.0,0,69.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,64.125,-256,-256,-256,58.156,39.0,58.375,59.531,58.468,64.125,1697,6352,6133,5699,19881,ON,MAXN
1762961608.885407,2025-11-12 15:33:28.885222,0:22:15.280000,68,68,68,80,69,64,72,73,0.3156062238299525,0.0,0,47.9,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,64.125,-256,-256,-256,58.25,39.0,58.437,59.687,58.562,64.125,1697,6571,6133,5600,20001,ON,MAXN
1762961609.886881,2025-11-12 15:33:29.886693,0:22:16.280000,78,65,63,60,67,76,64,57,0.3150992696245612,0.0,0,56.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,64.656,-256,-256,-256,58.281,40.0,58.593,59.625,58.562,64.625,1697,6133,6133,5600,19563,ON,MAXN
1762961610.8883653,2025-11-12 15:33:30.888181,0:22:17.280000,65,89,56,60,57,52,60,60,0.3155703400232456,0.0,0,61.3,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,64.437,-256,-256,-256,58.312,38.0,58.531,59.593,58.625,64.437,1697,5914,6133,5600,19344,ON,MAXN
